"a";"b";"c";"d";"answer";"question";"subject_id"
"Navicat";"Plugins";"NetRight";"None of the mentioned";"B";"Which of the following is the child object of the JavaScript navigator?";4
"name";"filename";"mimeTypes";"all of the mentioned";"D";"Which of the following are the properties of a plug-in entry?";4
"Contains MIME properties";"Contains MIME sizes";"Contains MIME types";"None of the mentioned";"C";"What is the purpose of the mimeTypes property of a plug-in entry?";4
"Error";"Bug";"Mistake";"All of the mentioned";"B";"What is it called when we make a mistake in the script?";4
"Element";"Location";"Position";"Window";"C";"Which of the following is not an object?";4
"Client";"Server";"Both Client and Server";"None of the mentioned";"B";"In which part does the form validation occur?";4
"timestamp.className = highlight";";timestamp.className = ""change""""""";";timestamp.className = ""specify""""""";";timestamp.className = ""move""""""";";A""""";"What is the code snippet to change the class and let the stylesheet specify the details?";4
"Error Window";"JavaScript Console";"JavaScript Console";"All of the mentioned";"B";"What is the other way of calling the Error Console in Firefox?";4
"Syntax error";"Runtime error";"Both Syntax error and Runtime error";"None of the mentioned";"C";"What kind of error notifications are shown in the console window?";4
"Use of JavaScript Validator";"Use of JavaScript Debugger";"Use of JavaScript Validator & Debugger";"None of the mentioned";"C";"How do we debug a script?";4
"Correction of errors";"Placing script execution under control";"Correction of errors & Placing script execution under control";"None of the mentioned";"B";"What is the purpose of a JavaScript debugger?";4
"User time efficiency";"Author time efficiency";"Both User time and Author time efficiency";"None of the mentioned";"B";"What is a framework?";4
"all()";"loop()";"each()";"none of the mentioned";"C";"Which is the function used to loop in an array to view all the values?";4
"Chrome JQuery";"Chrome JavaScript";"Firefox JQuery";"Firefox JavaScript";"A";"Which of the following has a greater benchmark time for looping and JQuery vs core JavaScript in milliseconds?";4
"ScriptObject";"JSObject";"JavaObject";"Jobject";"B";"Which class provides an interface for invoking JavaScript methods and examining JavaScript properties?";4
"Executes the string as an integer";"Gets the value of the string";"Executing string as JavaScript";"None of the mentioned";"C";"What is the purpose of the function eval?";4
"Chrome JQueryDOM_";"Chrome JSDOM_benc";"Firefox JQueryDOM_";"Firefox JSDOM_benc";"D";"Which of the following has a lesser benchmark time for using JQuery to access DOM versus pure JavaScript in milliseconds?";4
"Sends back the data";"Waits for correction";"Sends back the data and Waits for correction";"None of the mentioned";"C";"What would happen if the data in the client had been wrong?";4
"Data correctness";"Mere data existence";"Both Data correctness and Mere data existence";"None of the mentioned";"B";"What is the purpose of the basic validation?";4
"Data correctness";"Mere data existence";"Both Data correctness and Mere data existence";"None of the mentioned";"A";"What is the purpose of data format validation?";4
"validate()";"valid()";"validation()";"none of the mentioned";"D";"Which is the function that is called to validate a data?";4
"position()";"index()";"indexOf()";"none of the mentioned";"C";"How to find the index of a particular string?";4
"JavaArray";"JavaClass";"JavaObject";"JavaPackage";"A";"Which is a wrapped Java array, accessed from within JavaScript code?";4
"Close(object)";"Close(doc)";"Close(val)";"Close()";"D";"What is the syntax of close method for document object?";4
"ceil(x,y)";"top(x,y)";"Math.ceil(x,y)";"Math.max(x,y)";"D";"How do you find the number with the highest value of x and y?";4
"browser.name";"navigator.appName";"client.navName";"none of the mentioned";"B";"How can you find a client’s browser name?";4
"Rico";"Prototype";"Joco";"DoJo";"D";"Which of the following is not a JavaScript framework?";4
"Returns the string “Math""""";"Sends the source to the Math Library";"Returns the value of the object";"None of the mentioned";"A";"What is the purpose of the Math method toSource()?";4
"3";"5";"4";"2";"D";"How many static methods does a Date object have?";4
"Date.parse()";"Date.UTC()";"Both Date.parse() and Date.UTC()";"None of the mentioned";"C";"Which of the following are static methods in JavaScript?";4
"r typeof Range";"r is Range";"r equals Range";"r instanceof Range";"D";"If we have an object r and want to know if it is a Range object, we can write:";4
"timestamp.Child1";"timestamp.Child(1)";"timestamp.Child(0)";"timestamp.firstChild";"D";"What is the property to access the first child of a node?";4
"Finding bugs";"Fixing bugs";"Both Finding & Fixing bugs";"None of the mentioned";"C";"Which of the following is the definition for debugging?";4
"Where is the error icon shown in the Internet Explorer?";"Status bar";"Both Taskbar and Status bar";"Both Taskbar and Status bar";"B";"Where is the error icon shown in the Internet Explorer?";4
"Tools";"Help";"File";"Edit";"A";"Where is the error icon option available?";4
"Bug Window";"Error Issues";"Error Window";"Error Console";"D";"Which of the following is the window that the Firefox sends the error messages to?";4
"Tools->Error Console";"Tools->Error Window";"Help->Error Console";"None of the mentioned";"A";"What is the procedure to view the console in the Firefox?";4
"Fireworks";"Fade Effect";"Roll-in or Roll-out";"All of the mentioned";"D";"Which of the following can be implemented using animation?";4
"setTimeout()";"setTime()";"callafter()";"none of the mentioned";"A";"Which is the function that calls another function after a time interval?";4
"clearTimervalue()";"clearTimeout()";"clear()";"flush(timer)";"B";"Which function is used to clear the timer value?";4
"object.position = left";"object = position.left";"object.style.left";"none of the mentioned";"C";"Which is the property used to position the object in the left of the screen?";4
"callafter()";"setInterval()";"setTimeout()";"setTime()";"B";"Which is the function used to call a function in every time duration?";4
"platform[]";"plugin[]";"userAgent[]";"all of the mentioned";"D";"Which of the following is not a navigator property?";4
"Platform of the script";"Platform where the image map was designed";"Platform where the browser was compiled";"All of the mentioned";"C";"What is the purpose of the platform[] property in a navigator?";4
"Set Browser preference";"Set Netscape preference";"Both Set Browser & Netscape preference";"None of the mentioned";"B";"What is the purpose of the preference method in a navigator?";4
"postEnabled";"reference";"preference";"all of the mentioned";"C";"Which of the following is not a navigator method?";4
"Identifying the data";"Identifying the client";"Both Identifying the data and client";"None of the mentioned";"B";"What is the purpose of the userAgent property?";4
"getElementbyId()";"getObject()";"getElement()";"none of the mentioned";"A";"How do we get the DOM object in JavaScript?";4
"image = “url""""";"source(“url)""""";"image.src = “url""""";"none of the mentioned";"C";"How to assign the image source in JavaScript?";4
"Use new keyword";"Call Image()";"Both Use new keyword and Call Image()";"None of the mentioned";"C";"How do we create and preload an image object in JavaScript?";4
"onMouseOver";"onMouseOut";"onMouse";"onMouseOnto";"A";"Which event handler is triggered when the user’s mouse moves onto a link?";4
"onMouseOver";"onMouseOut";"onMouse";"onMouseOnto";"B";"Which event handler is triggered when the user’s mouse moves away from a link?";4
"Server side";"Client side";"Both Server and Client side";"None of the mentioned";"B";"Which side of image map can be created using JavaScript?";4
"map";"area";"usemap";"all of the mentioned";"C";"Which is the attribute used to enable the Client-side image map?";4
"map and area";"map and usemap";"only map";"only usemap";"A";"Which are the special tags used for image mapping?";4
